"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 15:15:07 PKT 2024","Mon Jul 08 15:15:08 PKT 2024","1230","","Cypress APIs Cypress.spec","","Cypress APIs Cypress.spec","Get current spec information","Get current spec information",""
"passed","Mon Jul 08 15:14:22 PKT 2024","Mon Jul 08 15:14:24 PKT 2024","1231","","Connectors .then()","","Connectors .then()","yields the original subject without return","yields the original subject without return",""
"passed","Mon Jul 08 15:14:17 PKT 2024","Mon Jul 08 15:14:18 PKT 2024","1227","","Connectors","","Connectors",".invoke() - invoke a function on the current subject",".invoke() - invoke a function on the current subject",""
"passed","Mon Jul 08 15:13:10 PKT 2024","Mon Jul 08 15:13:12 PKT 2024","1662","","Actions","","Actions",".trigger() - trigger an event on a DOM element",".trigger() - trigger an event on a DOM element",""
"broken","Mon Jul 08 15:23:34 PKT 2024","Mon Jul 08 15:24:35 PKT 2024","60536","","Utilities","","Utilities","Cypress.$ - call a jQuery method","Cypress.$ - call a jQuery method",""
"passed","Mon Jul 08 15:17:17 PKT 2024","Mon Jul 08 15:17:23 PKT 2024","5581","","Network Requests","","Network Requests","cy.request() - save response in the shared test context","cy.request() - save response in the shared test context",""
"passed","Mon Jul 08 15:18:30 PKT 2024","Mon Jul 08 15:18:34 PKT 2024","3442","","Querying","","Querying","best practices - selecting elements","best practices - selecting elements",""
"passed","Mon Jul 08 15:16:17 PKT 2024","Mon Jul 08 15:16:24 PKT 2024","6964","","Navigation","","Navigation","cy.reload() - reload the page","cy.reload() - reload the page",""
"passed","Mon Jul 08 15:14:57 PKT 2024","Mon Jul 08 15:14:58 PKT 2024","1171","","Cypress APIs Cypress.arch","","Cypress APIs Cypress.arch","Get CPU architecture name of underlying OS","Get CPU architecture name of underlying OS",""
"passed","Mon Jul 08 15:14:19 PKT 2024","Mon Jul 08 15:14:21 PKT 2024","1546","","Connectors .then()","","Connectors .then()","invokes a callback function with the current subject","invokes a callback function with the current subject",""
"passed","Mon Jul 08 15:17:23 PKT 2024","Mon Jul 08 15:17:29 PKT 2024","5663","","Network Requests","","Network Requests","cy.intercept() - route responses to matching requests","cy.intercept() - route responses to matching requests",""
"passed","Mon Jul 08 15:21:22 PKT 2024","Mon Jul 08 15:21:33 PKT 2024","11495","","Traversal","","Traversal",".closest() - get closest ancestor DOM element",".closest() - get closest ancestor DOM element",""
"passed","Mon Jul 08 15:13:47 PKT 2024","Mon Jul 08 15:13:48 PKT 2024","1307","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".and() - chain multiple assertions together",".and() - chain multiple assertions together",""
"passed","Mon Jul 08 15:14:43 PKT 2024","Mon Jul 08 15:14:44 PKT 2024","1362","","Cookies","","Cookies","cy.clearAllCookies() - clear all browser cookies","cy.clearAllCookies() - clear all browser cookies",""
"passed","Mon Jul 08 15:28:08 PKT 2024","Mon Jul 08 15:28:18 PKT 2024","9612","","Window","","Window","cy.title() - get the title","cy.title() - get the title",""
"passed","Mon Jul 08 15:15:42 PKT 2024","Mon Jul 08 15:15:44 PKT 2024","1151","","Misc","","Misc","cy.wrap() - wrap an object","cy.wrap() - wrap an object",""
"passed","Mon Jul 08 15:20:24 PKT 2024","Mon Jul 08 15:20:30 PKT 2024","6032","","Local Storage / Session Storage","","Local Storage / Session Storage","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Mon Jul 08 15:19:26 PKT 2024","Mon Jul 08 15:19:32 PKT 2024","6160","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.stub() - create a stub and/or replace a function with stub","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Mon Jul 08 15:22:27 PKT 2024","Mon Jul 08 15:22:30 PKT 2024","3055","","Traversal","","Traversal",".parent() - get parent DOM element from DOM elements",".parent() - get parent DOM element from DOM elements",""
"passed","Mon Jul 08 15:10:58 PKT 2024","Mon Jul 08 15:11:42 PKT 2024","44965","","Registered User","","Registered User","TC01: Verify that User can be Registered Successfully","TC01: Verify that User can be Registered Successfully",""
"passed","Mon Jul 08 15:27:02 PKT 2024","Mon Jul 08 15:27:51 PKT 2024","48432","","Window","","Window","cy.window() - get the global window object","cy.window() - get the global window object",""
"passed","Mon Jul 08 15:14:04 PKT 2024","Mon Jul 08 15:14:15 PKT 2024","11895","","Connectors","","Connectors",".each() - iterate over an array of elements",".each() - iterate over an array of elements",""
"passed","Mon Jul 08 15:22:34 PKT 2024","Mon Jul 08 15:22:37 PKT 2024","2748","","Traversal","","Traversal",".parentsUntil() - get parent DOM elements from DOM elements until el",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Mon Jul 08 15:14:40 PKT 2024","Mon Jul 08 15:14:41 PKT 2024","1024","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"passed","Mon Jul 08 15:13:55 PKT 2024","Mon Jul 08 15:13:56 PKT 2024","1500","","Assertions Explicit Assertions","","Assertions Explicit Assertions","matches unknown text between two elements","matches unknown text between two elements",""
"passed","Mon Jul 08 15:21:33 PKT 2024","Mon Jul 08 15:21:40 PKT 2024","7245","","Traversal","","Traversal",".eq() - get a DOM element at a specific index",".eq() - get a DOM element at a specific index",""
"passed","Mon Jul 08 15:22:20 PKT 2024","Mon Jul 08 15:22:24 PKT 2024","3326","","Traversal","","Traversal",".nextUntil() - get next sibling DOM elements until next el",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Mon Jul 08 15:13:07 PKT 2024","Mon Jul 08 15:13:10 PKT 2024","2671","","Actions","","Actions",".scrollIntoView() - scroll an element into view",".scrollIntoView() - scroll an element into view",""
"broken","Mon Jul 08 15:25:52 PKT 2024","Mon Jul 08 15:26:58 PKT 2024","66834","","Waiting","","Waiting","cy.wait() - wait for a specific amount of time","cy.wait() - wait for a specific amount of time",""
"passed","Mon Jul 08 15:19:17 PKT 2024","Mon Jul 08 15:19:26 PKT 2024","9593","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.spy() retries until assertions pass","cy.spy() retries until assertions pass",""
"passed","Mon Jul 08 15:13:12 PKT 2024","Mon Jul 08 15:13:17 PKT 2024","5033","","Actions","","Actions","cy.scrollTo() - scroll the window or element to a position","cy.scrollTo() - scroll the window or element to a position",""
"passed","Mon Jul 08 15:13:03 PKT 2024","Mon Jul 08 15:13:07 PKT 2024","4093","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Mon Jul 08 15:21:46 PKT 2024","Mon Jul 08 15:21:59 PKT 2024","12825","","Traversal","","Traversal",".find() - get descendant DOM elements of the selector",".find() - get descendant DOM elements of the selector",""
"passed","Mon Jul 08 15:12:29 PKT 2024","Mon Jul 08 15:12:32 PKT 2024","3265","","Actions","","Actions",".focus() - focus on a DOM element",".focus() - focus on a DOM element",""
"passed","Mon Jul 08 15:22:30 PKT 2024","Mon Jul 08 15:22:34 PKT 2024","3960","","Traversal","","Traversal",".parents() - get parent DOM elements from DOM elements",".parents() - get parent DOM elements from DOM elements",""
"passed","Mon Jul 08 15:15:00 PKT 2024","Mon Jul 08 15:15:01 PKT 2024","1537","","Cypress APIs Cypress.dom","","Cypress APIs Cypress.dom",".isHidden() - determine if a DOM element is hidden",".isHidden() - determine if a DOM element is hidden",""
"passed","Mon Jul 08 15:15:48 PKT 2024","Mon Jul 08 15:15:50 PKT 2024","1384","","Misc Cypress.Screenshot","","Misc Cypress.Screenshot","Cypress.Screenshot.defaults() - change default config of screenshots","Cypress.Screenshot.defaults() - change default config of screenshots",""
